Fiscal Year,Contracting Agency ID,Contracting Agency Name,Product or Service Code,Product or Service Description,Base and Exercised Options Value,Base and All Options Value (Total Contract Value),Non Government Dollars,Dollars Obligated,Number of Actions,Number of Records
2015,2100,DEPT OF THE ARMY,AN93,R&D- MEDICAL: OTHER (ADVANCED DEVELOPMENT),"$678,889.98 ","$4,264,841.98 ",$0.00 ,"$678,889.98 ",1 ,1 
2015,7013,TRANSPORTATION SECURITY ADMINISTRATION,AS31,R&D- MODAL TRANSPORTATION: RAIL (BASIC RESEARCH),"$149,897.00 ","$749,485.00 ",$0.00 ,"$149,897.00 ",1 ,1 
2015,7001,OFFICE OF PROCUREMENT OPERATIONS,AZ11,R&D- OTHER RESEARCH AND DEVELOPMENT (BASIC RESEARCH),$0.00 ,"$125,000,000.00 ",$0.00 ,$0.00 ,2 ,2 
2015,2100,DEPT OF THE ARMY,AZ12,R&D- OTHER RESEARCH AND DEVELOPMENT (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT),"$34,934,167.26 ","$1,300,219,976.00 ",$0.00 ,"$34,934,167.26 ",18 ,18 
2015,97ZS,U.S. SPECIAL OPERATIONS COMMAND (USSOCOM),AZ13,R&D- OTHER RESEARCH AND DEVELOPMENT (ADVANCED DEVELOPMENT),$0.00 ,$0.00 ,$0.00 ,$0.00 ,2 ,2 
2015,7013,TRANSPORTATION SECURITY ADMINISTRATION,B599,SPECIAL STUDIES/ANALYSIS- OTHER,"$1,500,000.00 ","$1,500,000.00 ",$0.00 ,"$1,500,000.00 ",2 ,2 
2015,7013,TRANSPORTATION SECURITY ADMINISTRATION,C119,OTHER BUILDINGS,$0.00 ,$0.00 ,$0.00 ,$0.00 ,2 ,2 
2015,7013,TRANSPORTATION SECURITY ADMINISTRATION,C1BE,ARCHITECT AND ENGINEERING- CONSTRUCTION: AIRPORT TERMINALS,"$20,589,325.49 ","$20,589,325.49 ",$0.00 ,"$20,589,325.49 ",32 ,32 
2015,7013,TRANSPORTATION SECURITY ADMINISTRATION,C212,"ARCHITECT AND ENGINEERING- GENERAL: ENGINEERING DRAFTING, NOT CAD/CAM","($5,963,340.03)","($5,963,340.03)",$0.00 ,"($5,963,340.03)",7 ,7 
2015,7013,TRANSPORTATION SECURITY ADMINISTRATION,C215,ARCHITECT AND ENGINEERING- GENERAL: PRODUCTION ENGINEERING,$0.00 ,$0.00 ,$0.00 ,$0.00 ,1 ,1 
2015,7013,TRANSPORTATION SECURITY ADMINISTRATION,C219,ARCHITECT AND ENGINEERING- GENERAL: OTHER,"($8,834,559.36)","($8,834,559.36)",$0.00 ,"($8,834,559.36)",18 ,18 
2015,7013,TRANSPORTATION SECURITY ADMINISTRATION,J058,"MAINT/REPAIR/REBUILD OF EQUIPMENT- COMMUNICATION, DETECTION, AND COHERENT RADIATION EQUIPMENT",$0.00 ,$0.00 ,$0.00 ,$0.00 ,1 ,1 
2015,7013,TRANSPORTATION SECURITY ADMINISTRATION,N063,"INSTALLATION OF EQUIPMENT- ALARM, SIGNAL, AND SECURITY DETECTION SYSTEMS","$77,016.00 ","$77,016.00 ",$0.00 ,"$77,016.00 ",9 ,9 
2015,7013,TRANSPORTATION SECURITY ADMINISTRATION,N067,INSTALLATION OF EQUIPMENT- PHOTOGRAPHIC EQUIPMENT,"($54,065.53)","($54,065.53)",$0.00 ,"($54,065.53)",8 ,8 
2015,7001,OFFICE OF PROCUREMENT OPERATIONS,R408,SUPPORT- PROFESSIONAL: PROGRAM MANAGEMENT/SUPPORT,"$1,995,504.00 ","$3,003,383.00 ",$0.00 ,"$1,995,504.00 ",3 ,3 
2015,7013,TRANSPORTATION SECURITY ADMINISTRATION,R426,SUPPORT- PROFESSIONAL: COMMUNICATIONS,"$1,226,856.00 ","$1,226,856.00 ",$0.00 ,"$1,226,856.00 ",1 ,1 
2015,7013,TRANSPORTATION SECURITY ADMINISTRATION,R499,SUPPORT- PROFESSIONAL: OTHER,"$199,105,100.28 ","$212,018,461.62 ","$21,483.66 ","$39,228,353.27 ",352 ,352 
2015,2100,DEPT OF THE ARMY,R799,SUPPORT- MANAGEMENT: OTHER,"$250,000.00 ","$5,250,000.00 ",$0.00 ,"$250,000.00 ",6 ,6 
2015,7013,TRANSPORTATION SECURITY ADMINISTRATION,S112,UTILITIES- ELECTRIC,"$12,643,015.25 ","$17,358,092.81 ",$0.00 ,"$12,643,015.25 ",109 ,109 
2015,7013,TRANSPORTATION SECURITY ADMINISTRATION,S201,HOUSEKEEPING- CUSTODIAL JANITORIAL,"$563,346.09 ","$1,076,000.49 ",$0.00 ,"$563,346.09 ",14 ,14 
2015,7013,TRANSPORTATION SECURITY ADMINISTRATION,S206,HOUSEKEEPING- GUARD,"$46,510,963.04 ","$46,519,856.82 ","$543,319.15 ","$46,424,941.56 ",613 ,613 
2015,7013,TRANSPORTATION SECURITY ADMINISTRATION,S211,HOUSEKEEPING- SURVEILLANCE,"$7,537,956.04 ","$7,537,956.04 ",$0.00 ,"$7,537,956.04 ",7 ,7 
2015,7013,TRANSPORTATION SECURITY ADMINISTRATION,X1LZ,LEASE/RENTAL OF PARKING FACILITIES,"$2,614,467.00 ","$2,614,467.00 ",$0.00 ,"$2,614,467.00 ",14 ,14 
2015,7013,TRANSPORTATION SECURITY ADMINISTRATION,Y125,CONSTRUCTION OF AIRPORT TERMINALS,"$5,089,827.03 ","$5,089,827.03 ",$0.00 ,"$5,089,827.03 ",18 ,18 
2015,7013,TRANSPORTATION SECURITY ADMINISTRATION,Y1BE,CONSTRUCTION OF AIRPORT TERMINALS,"$573,018.35 ","$573,018.35 ",$0.00 ,"$573,018.35 ",4 ,4 
2015,7013,TRANSPORTATION SECURITY ADMINISTRATION,Z2BE,REPAIR OR ALTERATION OF AIRPORT TERMINALS,"$60,236,311.00 ","$60,236,311.00 ","$2,721,536.00 ","$57,514,775.00 ",2 ,2 
2016,97ZS,U.S. SPECIAL OPERATIONS COMMAND (USSOCOM),1310,"AMMUNITION, OVER 30MM UP TO 75MM","$281,862.00 ","$281,862.00 ",$0.00 ,"$281,862.00 ",3 ,3 
2016,5700,DEPT OF THE AIR FORCE,2845,ROCKET ENGINES AND COMPONENTS,"$242,570,139.00 ","$242,570,139.00 ","$196,935,386.00 ","$242,570,139.00 ",23 ,23 
2016,2100,DEPT OF THE ARMY,5810,COMMUNICATIONS SECURITY EQUIPMENT AND COMPONENTS,"$1,772,800.00 ","$1,772,800.00 ",$0.00 ,"$1,772,800.00 ",2 ,2 
2016,7013,TRANSPORTATION SECURITY ADMINISTRATION,6350,"MISCELLANEOUS ALARM, SIGNAL, AND SECURITY DETECTION SYSTEMS",$0.00 ,$0.00 ,$0.00 ,$0.00 ,2 ,2 
2016,7013,TRANSPORTATION SECURITY ADMINISTRATION,6710,"CAMERAS, MOTION PICTURE","$4,842,281.50 ","$4,842,281.50 ",$0.00 ,"$685,066.50 ",3 ,3 
2016,7001,OFFICE OF PROCUREMENT OPERATIONS,AA94,R&D- AGRICULTURE: OTHER (ENGINEERING DEVELOPMENT),"$200,000.00 ","$200,000.00 ",$0.00 ,"$200,000.00 ",2 ,2 
2016,2100,DEPT OF THE ARMY,AC41,R&D- DEFENSE SYSTEM: TANK/AUTOMOTIVE (BASIC RESEARCH),"$300,874.00 ","$700,000,000.00 ",$0.00 ,"$300,874.00 ",3 ,3 
2016,2100,DEPT OF THE ARMY,AC54,R&D- DEFENSE SYSTEM: WEAPONS (ENGINEERING DEVELOPMENT),"$578,938,636.39 ","$98,568,705.86 ",$0.00 ,"$578,938,636.39 ",87 ,87 
2016,1700,DEPT OF THE NAVY,AC63,R&D- DEFENSE SYSTEM: ELECTRONICS/COMMUNICATION EQUIPMENT (ADVANCED DEVELOPMENT),"$359,000.00 ","$359,000.00 ",$0.00 ,"$359,000.00 ",1 ,1 
2016,2100,DEPT OF THE ARMY,AD23,R&D- DEFENSE OTHER: SERVICES (ADVANCED DEVELOPMENT),"$41,935,292.15 ","$10,041,935,292.15 ",$0.00 ,"$4,015,702.10 ",3 ,3 
2016,97AE,DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA),AD91,R&D- DEFENSE OTHER: OTHER (BASIC RESEARCH),"$7,110,656.00 ","$2,597,757.00 ",$0.00 ,"$6,261,627.00 ",10 ,10 
2016,5700,DEPT OF THE AIR FORCE,AD92,R&D- DEFENSE OTHER: OTHER (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT),"$99,000,000.00 ","$99,000,000.00 ",$0.00 ,"$7,467,644.00 ",6 ,6 
2016,9761,DEFENSE THREAT REDUCTION AGENCY (DTRA),AD92,R&D- DEFENSE OTHER: OTHER (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT),"$93,231,711.00 ","$119,130,080.00 ","$30,235,853.73 ","$60,959,140.21 ",3 ,3 
2016,97AE,DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA),AD92,R&D- DEFENSE OTHER: OTHER (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT),"$20,680,378.00 ","$20,528,431.00 ","$7,198,345.00 ","$19,740,935.00 ",31 ,31 
2016,1700,DEPT OF THE NAVY,AD93,R&D- DEFENSE OTHER: OTHER (ADVANCED DEVELOPMENT),"$1,336,006.00 ",$0.00 ,$0.00 ,"$4,569,841.00 ",4 ,4 
2016,97AE,DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA),AD93,R&D- DEFENSE OTHER: OTHER (ADVANCED DEVELOPMENT),"$452,045,798.57 ","$503,595,144.57 ","$320,091,787.00 ","$172,778,766.57 ",27 ,27 
2016,2100,DEPT OF THE ARMY,AD94,R&D- DEFENSE OTHER: OTHER (ENGINEERING DEVELOPMENT),"$105,495,504.40 ","$305,062,636.40 ",$0.00 ,"$105,495,504.40 ",68 ,68 
2016,97AE,DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA),AD95,R&D- DEFENSE OTHER: OTHER (OPERATIONAL SYSTEMS DEVELOPMENT),"$1,732,333.21 ","$1,248,351.76 ",$0.00 ,"$1,785,049.21 ",8 ,8 
2016,7001,OFFICE OF PROCUREMENT OPERATIONS,AH94,R&D- ENVIRONMENTAL PROTECTION: OTHER (ENGINEERING DEVELOPMENT),"$4,453,804.00 ","$4,453,804.00 ",$0.00 ,"$4,453,804.00 ",2 ,2 
2016,7001,OFFICE OF PROCUREMENT OPERATIONS,AJ42,R&D- GENERAL SCIENCE/TECHNOLOGY: ENGINEERING (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT),$0.00 ,$0.00 ,$0.00 ,$0.00 ,1 ,1 
2016,2100,DEPT OF THE ARMY,AJ63,R&D- GENERAL SCIENCE/TECHNOLOGY: PSYCHOLOGICAL SCIENCES (ADVANCED DEVELOPMENT),"$152,850.00 ","$152,850.00 ",$0.00 ,"$152,850.00 ",2 ,2 
2016,2100,DEPT OF THE ARMY,AN12,R&D- MEDICAL: BIOMEDICAL (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT),"$49,953,839.19 ","$49,953,839.19 ",$0.00 ,"$21,723,311.38 ",9 ,9 
2016,2100,DEPT OF THE ARMY,AN93,R&D- MEDICAL: OTHER (ADVANCED DEVELOPMENT),"$22,038,634.00 ","$18,452,682.00 ","$11,098,010.00 ","$12,306,468.53 ",6 ,6 
2016,7013,TRANSPORTATION SECURITY ADMINISTRATION,AS31,R&D- MODAL TRANSPORTATION: RAIL (BASIC RESEARCH),"$149,897.00 ",$0.00 ,$0.00 ,"$149,897.00 ",1 ,1 
2016,2100,DEPT OF THE ARMY,AZ11,R&D- OTHER RESEARCH AND DEVELOPMENT (BASIC RESEARCH),"$2,225,375.00 ","$2,925,375.00 ",$0.00 ,"$2,225,375.00 ",3 ,3 
2016,7001,OFFICE OF PROCUREMENT OPERATIONS,AZ11,R&D- OTHER RESEARCH AND DEVELOPMENT (BASIC RESEARCH),$0.00 ,$0.00 ,$0.00 ,$0.00 ,1 ,1 
2016,2100,DEPT OF THE ARMY,AZ12,R&D- OTHER RESEARCH AND DEVELOPMENT (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT),"$171,940,799.68 ",$0.00 ,$0.00 ,"$158,701,039.63 ",27 ,27 
2016,7001,OFFICE OF PROCUREMENT OPERATIONS,AZ12,R&D- OTHER RESEARCH AND DEVELOPMENT (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT),"$593,525.00 ","$593,525.00 ",$0.00 ,"$593,525.00 ",7 ,7 
2016,97AE,DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA),AZ13,R&D- OTHER RESEARCH AND DEVELOPMENT (ADVANCED DEVELOPMENT),"$147,329,859.00 ","$147,329,859.00 ","$17,900,000.00 ","$13,518,058.00 ",2 ,2 
2016,2100,DEPT OF THE ARMY,AZ14,R&D- OTHER RESEARCH AND DEVELOPMENT (ENGINEERING DEVELOPMENT),"$16,033,805.40 ","$26,156,907.24 ",$0.00 ,"$16,033,805.40 ",7 ,7 
2016,97AE,DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA),B544,SPECIAL STUDIES/ANALYSIS- TECHNOLOGY,"$697,919.00 ","$697,919.00 ",$0.00 ,"$697,919.00 ",2 ,2 
2016,2100,DEPT OF THE ARMY,B550,SPECIAL STUDIES/ANALYSIS- ORGANIZATION/ADMINISTRATIVE/PERSONNEL,"$499,982.48 ","$835,938.48 ",$0.00 ,"$499,982.48 ",1 ,1 
2016,7013,TRANSPORTATION SECURITY ADMINISTRATION,B599,SPECIAL STUDIES/ANALYSIS- OTHER,"$699,594.69 ","$699,594.69 ",$0.00 ,"$699,594.69 ",2 ,2 
2016,7013,TRANSPORTATION SECURITY ADMINISTRATION,C119,OTHER BUILDINGS,$0.00 ,$0.00 ,$0.00 ,$0.00 ,1 ,1 
2016,7013,TRANSPORTATION SECURITY ADMINISTRATION,C1BE,ARCHITECT AND ENGINEERING- CONSTRUCTION: AIRPORT TERMINALS,"$27,304,193.39 ","$33,692,093.39 ","$30,937.44 ","$27,273,255.95 ",49 ,49 
2016,7013,TRANSPORTATION SECURITY ADMINISTRATION,C212,"ARCHITECT AND ENGINEERING- GENERAL: ENGINEERING DRAFTING, NOT CAD/CAM","($257,329.65)","($257,329.65)",$0.00 ,"($257,329.65)",3 ,3 
2016,7013,TRANSPORTATION SECURITY ADMINISTRATION,C215,ARCHITECT AND ENGINEERING- GENERAL: PRODUCTION ENGINEERING,"($282,190.12)","($282,190.12)",$0.00 ,"($282,190.12)",1 ,1 
2016,7013,TRANSPORTATION SECURITY ADMINISTRATION,C219,ARCHITECT AND ENGINEERING- GENERAL: OTHER,"($93,173,934.65)","($93,173,934.65)",$0.00 ,"($95,786,602.53)",20 ,20 
2016,7013,TRANSPORTATION SECURITY ADMINISTRATION,N063,"INSTALLATION OF EQUIPMENT- ALARM, SIGNAL, AND SECURITY DETECTION SYSTEMS","($1,248,836.02)","($1,248,836.02)",$0.00 ,"($1,248,836.02)",5 ,5 
2016,7013,TRANSPORTATION SECURITY ADMINISTRATION,N067,INSTALLATION OF EQUIPMENT- PHOTOGRAPHIC EQUIPMENT,"($1,199,505.32)","($1,199,505.32)",$0.00 ,"($1,199,505.32)",8 ,8 
2016,7001,OFFICE OF PROCUREMENT OPERATIONS,R408,SUPPORT- PROFESSIONAL: PROGRAM MANAGEMENT/SUPPORT,"($269,957.00)","($1,051,771.00)",$0.00 ,"($269,957.00)",2 ,2 
2016,7013,TRANSPORTATION SECURITY ADMINISTRATION,R426,SUPPORT- PROFESSIONAL: COMMUNICATIONS,"$2,074,176.00 ","$2,074,176.00 ",$0.00 ,"$2,074,176.00 ",1 ,1 
2016,7013,TRANSPORTATION SECURITY ADMINISTRATION,R499,SUPPORT- PROFESSIONAL: OTHER,"$19,479,718.27 ","$119,609,379.03 ",$0.00 ,"$41,028,455.80 ",213 ,213 
2016,2100,DEPT OF THE ARMY,R799,SUPPORT- MANAGEMENT: OTHER,"$1,998,708.16 ","$1,998,708.16 ",$0.00 ,"$1,998,708.16 ",5 ,5 
2016,7013,TRANSPORTATION SECURITY ADMINISTRATION,S112,UTILITIES- ELECTRIC,"$15,883,349.08 ","$24,392,801.35 ",$0.00 ,"$15,883,349.08 ",140 ,140 
2016,7013,TRANSPORTATION SECURITY ADMINISTRATION,S201,HOUSEKEEPING- CUSTODIAL JANITORIAL,"$1,279,243.87 ","$1,535,748.38 ",$0.00 ,"$1,279,243.87 ",22 ,22 
2016,7013,TRANSPORTATION SECURITY ADMINISTRATION,S206,HOUSEKEEPING- GUARD,"$47,126,988.33 ","$142,738,485.79 ","($448,738.19)","$47,652,588.33 ",771 ,771 
2016,7013,TRANSPORTATION SECURITY ADMINISTRATION,S211,HOUSEKEEPING- SURVEILLANCE,"$7,073,141.77 ","$7,073,141.77 ",$0.00 ,"$7,073,141.77 ",7 ,7 
2016,7013,TRANSPORTATION SECURITY ADMINISTRATION,X1BE,LEASE/RENTAL OF AIRPORT TERMINALS,"$6,373.50 ",$0.00 ,$0.00 ,"$6,373.50 ",3 ,3 
2016,7013,TRANSPORTATION SECURITY ADMINISTRATION,X1BZ,LEASE/RENTAL OF OTHER AIRFIELD STRUCTURES,"$1,646.82 ","$1,646.82 ",$0.00 ,"$1,646.82 ",2 ,2 
2016,7013,TRANSPORTATION SECURITY ADMINISTRATION,X1LZ,LEASE/RENTAL OF PARKING FACILITIES,"$2,360,714.88 ","$2,360,714.88 ",$0.00 ,"$2,360,714.88 ",13 ,13 
2016,7013,TRANSPORTATION SECURITY ADMINISTRATION,Y125,CONSTRUCTION OF AIRPORT TERMINALS,$0.00 ,$0.00 ,$0.00 ,$0.00 ,9 ,9 
2016,7013,TRANSPORTATION SECURITY ADMINISTRATION,Y1BE,CONSTRUCTION OF AIRPORT TERMINALS,"$86,001,807.68 ","$86,001,907.68 ","$6,416,047.96 ","$79,585,759.72 ",11 ,11 
2016,7013,TRANSPORTATION SECURITY ADMINISTRATION,Z2BE,REPAIR OR ALTERATION OF AIRPORT TERMINALS,$0.00 ,$0.00 ,$0.00 ,$0.00 ,3 ,3 
2017,2100,DEPT OF THE ARMY,1510,"AIRCRAFT, FIXED WING","$2,940,000.00 ","$2,940,000.00 ",$0.00 ,"$2,940,000.00 ",5 ,5 
2017,2100,DEPT OF THE ARMY,1550,UNMANNED AIRCRAFT,"$225,000.00 ","$225,000.00 ",$0.00 ,"$225,000.00 ",1 ,1 
2017,5700,DEPT OF THE AIR FORCE,2845,ROCKET ENGINES AND COMPONENTS,"$205,436,277.00 ","$205,436,277.00 ","$155,110,737.00 ","$171,468,448.00 ",18 ,18 
2017,2100,DEPT OF THE ARMY,5810,COMMUNICATIONS SECURITY EQUIPMENT AND COMPONENTS,"$1,771,999.52 ","$1,771,999.52 ",$0.00 ,"$1,771,999.52 ",2 ,2 
2017,2100,DEPT OF THE ARMY,5865,"ELECTRONIC COUNTERMEASURES, COUNTER-COUNTERMEASURES AND QUICK REACTION CAPABILITY EQUIPMENT","$200,000.00 ","$200,000.00 ",$0.00 ,"$200,000.00 ",1 ,1 
2017,7013,TRANSPORTATION SECURITY ADMINISTRATION,6350,"MISCELLANEOUS ALARM, SIGNAL, AND SECURITY DETECTION SYSTEMS",$0.00 ,$0.00 ,$0.00 ,$0.00 ,2 ,2 
2017,2100,DEPT OF THE ARMY,7030,INFORMATION TECHNOLOGY SOFTWARE,"$26,892,013.20 ","$63,147,426.53 ",$0.00 ,"$26,892,013.20 ",10 ,10 
2017,2100,DEPT OF THE ARMY,7035,INFORMATION TECHNOLOGY SUPPORT EQUIPMENT,"$13,475,873.38 ","$48,020,858.00 ",$0.00 ,"$13,475,873.38 ",4 ,4 
2017,2100,DEPT OF THE ARMY,9999,MISCELLANEOUS ITEMS,"$57,335.00 ","$57,335.00 ",$0.00 ,"$57,335.00 ",1 ,1 
2017,7001,OFFICE OF PROCUREMENT OPERATIONS,AA94,R&D- AGRICULTURE: OTHER (ENGINEERING DEVELOPMENT),$0.00 ,$0.00 ,$0.00 ,$0.00 ,2 ,2 
2017,2100,DEPT OF THE ARMY,AC41,R&D- DEFENSE SYSTEM: TANK/AUTOMOTIVE (BASIC RESEARCH),"$987,980.00 ",$0.00 ,$0.00 ,"$987,980.00 ",3 ,3 
2017,2100,DEPT OF THE ARMY,AC54,R&D- DEFENSE SYSTEM: WEAPONS (ENGINEERING DEVELOPMENT),"$946,511,490.71 ","$7,067,223,237.97 ",$0.00 ,"$946,511,490.71 ",89 ,89 
2017,2100,DEPT OF THE ARMY,AC62,R&D- DEFENSE SYSTEM: ELECTRONICS/COMMUNICATION EQUIPMENT (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT),"$146,000.00 ","$146,000.00 ",$0.00 ,"$146,000.00 ",2 ,2 
2017,2100,DEPT OF THE ARMY,AC64,R&D- DEFENSE SYSTEM: ELECTRONICS/COMMUNICATION EQUIPMENT (ENGINEERING DEVELOPMENT),"$5,368,621.00 ","$6,424,357.00 ",$0.00 ,"$1,734,311.00 ",1 ,1 
2017,2100,DEPT OF THE ARMY,AD23,R&D- DEFENSE OTHER: SERVICES (ADVANCED DEVELOPMENT),"$69,877,393.21 ","$69,877,393.21 ",$0.00 ,"$25,758,809.47 ",25 ,25 
2017,2100,DEPT OF THE ARMY,AD24,R&D- DEFENSE OTHER: SERVICES (ENGINEERING DEVELOPMENT),"$850,000.00 ","$1,499,802.00 ",$0.00 ,"$850,000.00 ",1 ,1 
2017,2100,DEPT OF THE ARMY,AD27,R&D- DEFENSE OTHER: SERVICES (COMMERCIALIZED),"$1,882,400.00 ","$1,882,400.00 ",$0.00 ,"$1,882,400.00 ",2 ,2 
2017,2100,DEPT OF THE ARMY,AD91,R&D- DEFENSE OTHER: OTHER (BASIC RESEARCH),"$2,995,840.00 ","$4,127,577.00 ",$0.00 ,"$2,995,840.00 ",2 ,2 
2017,97AE,DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA),AD91,R&D- DEFENSE OTHER: OTHER (BASIC RESEARCH),"$10,435,084.00 ","$14,577,135.00 ",$0.00 ,"$11,787,886.00 ",18 ,18 
2017,2100,DEPT OF THE ARMY,AD92,R&D- DEFENSE OTHER: OTHER (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT),"$3,050,000.00 ","$3,314,000.00 ",$0.00 ,"$2,350,000.00 ",2 ,2 
2017,5700,DEPT OF THE AIR FORCE,AD92,R&D- DEFENSE OTHER: OTHER (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT),"$31,833.00 ","$55,790,774.00 ","$55,758,941.00 ","$16,224,750.00 ",17 ,17 
2017,9761,DEFENSE THREAT REDUCTION AGENCY (DTRA),AD92,R&D- DEFENSE OTHER: OTHER (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT),"$1,181,557.00 ","($1,839,966.02)",$0.00 ,"$2,629,821.00 ",5 ,5 
2017,97AE,DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA),AD92,R&D- DEFENSE OTHER: OTHER (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT),"$114,513,972.00 ","$173,467,722.00 ","$48,513,934.00 ","$67,343,424.79 ",49 ,49 
2017,1700,DEPT OF THE NAVY,AD93,R&D- DEFENSE OTHER: OTHER (ADVANCED DEVELOPMENT),"$102,201.00 ",$0.00 ,$0.00 ,"$50,000.00 ",2 ,2 
2017,97AE,DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA),AD93,R&D- DEFENSE OTHER: OTHER (ADVANCED DEVELOPMENT),"$91,613,886.53 ","$167,207,729.00 ","$95,292,304.00 ","$233,690,244.53 ",33 ,33 
2017,2100,DEPT OF THE ARMY,AD94,R&D- DEFENSE OTHER: OTHER (ENGINEERING DEVELOPMENT),"$167,717,395.90 ","$2,163,169,632.90 ",$0.00 ,"$166,273,325.90 ",59 ,59 
2017,97AE,DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA),AD95,R&D- DEFENSE OTHER: OTHER (OPERATIONAL SYSTEMS DEVELOPMENT),"$2,983,771.00 ","$3,661,856.45 ",$0.00 ,"$2,483,846.00 ",7 ,7 
2017,7001,OFFICE OF PROCUREMENT OPERATIONS,AH94,R&D- ENVIRONMENTAL PROTECTION: OTHER (ENGINEERING DEVELOPMENT),"$4,664,000.00 ","$4,664,000.00 ",$0.00 ,"$4,664,000.00 ",3 ,3 
2017,2100,DEPT OF THE ARMY,AJ21,R&D- GENERAL SCIENCE/TECHNOLOGY: MATHEMATICAL/COMPUTER SCIENCES (BASIC RESEARCH),"$130,000.00 ","$130,000.00 ",$0.00 ,"$130,000.00 ",1 ,1 
2017,2100,DEPT OF THE ARMY,AJ41,R&D- GENERAL SCIENCE/TECHNOLOGY: ENGINEERING (BASIC RESEARCH),"$9,985,990.00 ","$35,849,616.00 ",$0.00 ,"$9,985,990.00 ",1 ,1 
2017,7001,OFFICE OF PROCUREMENT OPERATIONS,AJ42,R&D- GENERAL SCIENCE/TECHNOLOGY: ENGINEERING (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT),$0.00 ,$0.00 ,$0.00 ,$0.00 ,1 ,1 
2017,2100,DEPT OF THE ARMY,AJ63,R&D- GENERAL SCIENCE/TECHNOLOGY: PSYCHOLOGICAL SCIENCES (ADVANCED DEVELOPMENT),$0.00 ,$0.00 ,$0.00 ,$0.00 ,1 ,1 
2017,2100,DEPT OF THE ARMY,AN12,R&D- MEDICAL: BIOMEDICAL (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT),$0.00 ,$0.00 ,$0.00 ,"$10,597,108.09 ",3 ,3 
2017,2100,DEPT OF THE ARMY,AN93,R&D- MEDICAL: OTHER (ADVANCED DEVELOPMENT),"$3,468,247.01 ","$3,468,247.01 ","$1,266,875.00 ","$13,200,412.48 ",8 ,8 
2017,2100,DEPT OF THE ARMY,AN94,R&D- MEDICAL: OTHER (ENGINEERING DEVELOPMENT),"$6,157,641.00 ","$6,157,641.00 ","$3,583,458.00 ","$4,084,185.28 ",2 ,2 
2017,7013,TRANSPORTATION SECURITY ADMINISTRATION,AS31,R&D- MODAL TRANSPORTATION: RAIL (BASIC RESEARCH),"$149,897.00 ",$0.00 ,$0.00 ,"$149,897.00 ",1 ,1 
2017,2100,DEPT OF THE ARMY,AZ11,R&D- OTHER RESEARCH AND DEVELOPMENT (BASIC RESEARCH),"$26,183,008.13 ","$36,658,529.13 ",$0.00 ,"$21,642,331.13 ",42 ,42 
2017,7001,OFFICE OF PROCUREMENT OPERATIONS,AZ11,R&D- OTHER RESEARCH AND DEVELOPMENT (BASIC RESEARCH),"$1,900,000.00 ",$0.00 ,$0.00 ,"$1,900,000.00 ",2 ,2 
2017,2100,DEPT OF THE ARMY,AZ12,R&D- OTHER RESEARCH AND DEVELOPMENT (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT),"$288,656,570.73 ","$202,408,865.61 ",$0.00 ,"$225,189,643.20 ",48 ,48 
2017,7001,OFFICE OF PROCUREMENT OPERATIONS,AZ12,R&D- OTHER RESEARCH AND DEVELOPMENT (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT),"$79,369,823.19 ","$79,369,823.19 ","$598,050.00 ","$9,369,823.19 ",66 ,66 
2017,97AE,DEFENSE ADVANCED RESEARCH PROJECTS AGENCY  (DARPA),AZ13,R&D- OTHER RESEARCH AND DEVELOPMENT (ADVANCED DEVELOPMENT),"$50,000,000.00 ","$50,000,000.00 ",$0.00 ,"$64,405,667.00 ",9 ,9 
2017,2100,DEPT OF THE ARMY,AZ14,R&D- OTHER RESEARCH AND DEVELOPMENT (ENGINEERING DEVELOPMENT),"$31,978,498.89 ","$24,282,196.05 ",$0.00 ,"$22,121,199.89 ",33 ,33 
